date,name,id,result,won,lost
"
04.05.25
","
Fröschl, Franz
",1260286,3:1,1,0
"
04.05.25
","
Kaiser, Helmut
",1025522,2:3,0,1
"
04.05.25
","
Hauptkorn, Martin
",1959150,1:3,0,1
"
04.05.25
","
Kehlenbeck, Lars
",1129013,3:0,1,0
"
14.04.25
","
Oh, Sang-Gun
",1285174,0:3,0,1
"
14.04.25
","
Pfauth, Jürgen
",156510,0:3,0,1
"
04.04.25
","
Tretbar, René
",1061865,0:3,0,1
"
04.04.25
","
Seidl, Norbert
",1051649,1:3,0,1
"
28.03.25
","
Allebrodt, Christof
",995999,3:1,1,0
"
28.03.25
","
Bause, Frank
",998005,3:1,1,0
"
22.03.25
","
Edinger, Thomas
",1008747,1:3,0,1
"
22.03.25
","
Kohlhuber, Gerhard
",1029896,3:1,1,0
"
20.03.25
","
Kömmling, David
",1029374,3:1,1,0
"
20.03.25
","
Kreitenweis, Peter
",1058577,3:0,1,0
"
14.03.25
","
Seiz, Christian
",132052,0:3,0,1
"
14.03.25
","
Kraft, Ludwig
",1029426,2:3,0,1
"
07.03.25
","
Ledwoch, Jürgen
",1033436,0:3,0,1
"
07.03.25
","
Gabos, Zoltan
",1822493,3:0,1,0
"
21.02.25
","
Jell, Georg
",1020758,3:1,1,0
"
21.02.25
","
Gschlößl, Manfred
",1013325,3:1,1,0
"
24.01.25
","
Huber, Jonas
",1611306,0:3,0,1
"
24.01.25
","
Lösch, Martin
",1031834,3:0,1,0
"
13.12.24
","
Hartmann, Lukas
",1229785,3:1,1,0
"
13.12.24
","
Huber, Jonas
",1611306,3:2,1,0
"
07.12.24
","
Kratzl, Stefan
",1028778,0:3,0,1
"
07.12.24
","
Popp, Markus
",1043330,0:3,0,1
"
03.12.24
","
Bajusz, Peter
",1503663,0:3,0,1
"
03.12.24
","
Allebrodt, Christof
",995999,2:3,0,1
"
02.12.24
","
Hauptkorn, Martin
",1959150,0:3,0,1
"
29.11.24
","
Oh, Sang-Gun
",1285174,1:3,0,1
"
29.11.24
","
Pfauth, Jürgen
",156510,2:3,0,1
"
15.11.24
","
Popp, Markus
",1043330,1:3,0,1
"
15.11.24
","
Kraft, Ludwig
",1029426,3:0,1,0
"
07.11.24
","
Heller, Manfred
",1016579,3:0,1,0
"
07.11.24
","
Roppelt, Michael
",1047745,1:3,0,1
"
19.10.24
","
Kohlhuber, Gerhard
",1029896,1:3,0,1
"
19.10.24
","
Kappelmeier, Helmut
",1025085,3:1,1,0
"
18.10.24
","
Siml, Frank
",1053042,1:3,0,1
"
18.10.24
","
Jell, Georg
",1020758,3:1,1,0
"
11.10.24
","
Allebrodt, Christof
",995999,3:0,1,0
